Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.0,1.727,2.12,41.311
0.101,1.727,2.12,41.311
0.201,1.722,2.12,41.842
0.301,1.722,2.12,41.842
0.401,1.722,2.12,41.842
0.501,1.722,2.118,41.588
0.602,1.722,2.118,41.588
0.702,1.722,2.118,41.588
0.802,1.726,2.118,41.143
0.902,1.726,2.118,41.143
1.003,1.726,2.118,41.143
1.103,1.726,2.11,40.141
1.203,1.726,2.11,40.141
1.303,1.726,2.11,40.141
1.403,1.716,2.11,41.4
1.504,1.716,2.11,41.4
1.604,1.716,2.11,41.4
1.704,1.716,2.11,41.4
1.805,1.716,2.11,41.4
1.905,1.716,2.11,41.4
2.005,1.712,2.11,41.91
2.106,1.712,2.11,41.91
2.206,1.712,2.11,41.91
2.306,1.712,2.11,41.91
2.407,1.712,2.106,41.401
2.507,1.712,2.106,41.401
2.607,1.712,2.106,41.401
2.708,1.712,2.106,41.401
2.808,1.712,2.106,41.401
2.908,1.712,2.11,41.91
3.009,1.712,2.11,41.91
3.109,1.712,2.11,41.91
3.209,1.706,2.11,42.682
3.31,1.706,2.11,42.682
3.41,1.706,2.11,42.682
3.51,1.706,2.11,42.682
3.611,1.706,2.11,42.682
3.711,1.706,2.11,42.682
3.811,1.706,2.11,42.682
3.912,1.706,2.11,42.682
4.012,1.706,2.11,42.682
4.112,1.706,2.11,42.682
4.213,1.706,2.11,42.682
4.313,1.706,2.11,42.682
4.413,1.702,2.11,43.202
4.514,1.702,2.11,43.202
4.614,1.702,2.11,43.202
4.714,1.702,2.114,43.725
4.814,1.702,2.114,43.725
4.915,1.702,2.114,43.725
5.015,1.72,2.114,41.398
5.115,1.72,2.114,41.398
5.216,1.72,2.114,41.398
5.316,1.72,2.118,41.907
5.416,1.72,2.118,41.907
5.517,1.72,2.118,41.907
5.617,1.73,2.118,40.639
5.717,1.73,2.118,40.639
5.818,1.73,2.118,40.639
5.919,1.73,2.124,41.395
6.019,1.73,2.124,41.395
6.12,1.73,2.124,41.395
6.22,1.722,2.124,42.418
6.321,1.722,2.124,42.418
6.421,1.722,2.124,42.418
6.522,1.722,2.116,41.397
6.622,1.722,2.116,41.397
6.722,1.722,2.116,41.397
6.823,1.718,2.116,41.907
6.923,1.718,2.116,41.907
7.023,1.718,2.116,41.907
7.123,1.718,2.118,42.163
7.224,1.718,2.118,42.163
7.324,1.718,2.118,42.163
7.424,1.712,2.118,42.939
7.525,1.712,2.118,42.939
7.625,1.712,2.118,42.939
7.725,1.712,2.122,43.459
7.826,1.712,2.122,43.459
7.926,1.712,2.122,43.459
8.026,1.696,2.122,45.593
8.126,1.696,2.122,45.593
8.227,1.696,2.122,45.593
8.327,1.696,2.116,44.786
8.427,1.696,2.116,44.786
8.528,1.696,2.116,44.786
8.628,1.698,2.116,44.519
8.728,1.698,2.116,44.519
8.829,1.698,2.116,44.519
8.929,1.698,2.11,43.726
9.029,1.698,2.11,43.726
9.13,1.698,2.11,43.726
9.23,1.698,2.11,43.726
9.33,1.698,2.11,43.726
9.431,1.698,2.11,43.726
9.531,1.698,2.104,42.944
9.631,1.698,2.104,42.944
9.732,1.698,2.104,42.944
9.832,1.704,2.104,42.168
9.932,1.704,2.104,42.168
10.033,1.704,2.104,42.168
10.133,1.704,2.092,40.649
10.233,1.704,2.092,40.649
10.333,1.704,2.092,40.649
10.434,1.708,2.092,40.148
10.534,1.708,2.092,40.148
10.634,1.708,2.092,40.148
10.735,1.708,2.086,39.406
10.835,1.708,2.086,39.406
10.935,1.708,2.086,39.406
11.036,1.718,2.086,38.181
11.136,1.718,2.086,38.181
11.236,1.718,2.086,38.181
11.337,1.718,2.092,38.911
11.437,1.718,2.092,38.911
11.537,1.718,2.092,38.911
11.638,1.72,2.092,38.666
11.738,1.72,2.092,38.666
11.838,1.72,2.092,38.666
11.939,1.72,2.096,39.155
12.039,1.72,2.096,39.155
12.139,1.72,2.096,39.155
12.24,1.732,2.096,37.693
12.34,1.732,2.096,37.693
12.44,1.732,2.096,37.693
12.54,1.732,2.102,38.418
12.641,1.732,2.102,38.418
12.741,1.732,2.102,38.418
12.841,1.732,2.102,38.418
12.942,1.732,2.102,38.418
13.042,1.732,2.102,38.418
13.142,1.732,2.12,40.638
13.243,1.732,2.12,40.638
13.343,1.732,2.12,40.638
13.443,1.728,2.12,41.142
13.543,1.728,2.12,41.142
13.644,1.728,2.12,41.142
13.744,1.728,2.128,42.159
13.844,1.728,2.128,42.159
13.945,1.728,2.128,42.159
14.045,1.73,2.128,41.903
14.145,1.73,2.128,41.903
14.246,1.73,2.128,41.903
14.346,1.73,2.126,41.648
14.446,1.73,2.126,41.648
14.547,1.73,2.126,41.648
14.647,1.738,2.126,40.636
14.747,1.738,2.126,40.636
14.847,1.738,2.126,40.636
14.948,1.738,2.116,39.394
15.048,1.738,2.116,39.394
15.148,1.738,2.116,39.394
15.249,1.744,2.116,38.657
15.349,1.744,2.116,38.657
15.449,1.744,2.116,38.657
15.55,1.744,2.122,39.392
15.65,1.744,2.122,39.392
15.75,1.744,2.122,39.392
15.85,1.746,2.122,39.146
15.951,1.746,2.122,39.146
16.051,1.746,2.122,39.146
16.151,1.746,2.114,38.171
16.252,1.746,2.114,38.171
16.352,1.746,2.114,38.171
16.452,1.762,2.114,36.252
16.553,1.762,2.114,36.252
16.653,1.762,2.114,36.252
16.753,1.762,2.11,35.78
16.853,1.762,2.11,35.78
16.954,1.762,2.11,35.78
17.054,1.754,2.11,36.728
17.154,1.754,2.11,36.728
17.255,1.754,2.11,36.728
17.355,1.754,2.112,36.967
17.455,1.754,2.112,36.967
17.556,1.754,2.112,36.967
17.656,1.738,2.112,38.904
17.756,1.738,2.112,38.904
17.857,1.738,2.122,40.137
17.957,1.738,2.122,40.137
18.057,1.738,2.122,40.137
18.158,1.726,2.122,41.65
18.258,1.726,2.122,41.65
18.358,1.726,2.122,41.65
18.458,1.726,2.12,41.396
18.559,1.726,2.12,41.396
18.659,1.726,2.12,41.396
18.759,1.726,2.12,41.396
18.86,1.716,2.12,42.678
18.96,1.716,2.12,42.678
19.06,1.716,2.114,41.908
19.161,1.716,2.114,41.908
19.261,1.716,2.114,41.908
19.361,1.7,2.114,43.989
19.461,1.7,2.114,43.989
19.562,1.7,2.114,43.989
19.662,1.7,2.098,41.914
19.762,1.7,2.098,41.914
19.863,1.7,2.098,41.914
19.964,1.7,2.098,41.914
20.064,1.702,2.098,41.659
20.164,1.702,2.098,41.659
20.265,1.702,2.094,41.152
20.365,1.702,2.094,41.152
20.465,1.702,2.094,41.152
20.566,1.7,2.094,41.406
20.666,1.7,2.094,41.406
20.766,1.7,2.094,41.406
20.866,1.7,2.094,41.406
20.967,1.7,2.082,39.903
21.067,1.7,2.082,39.903
21.167,1.696,2.082,40.402
21.268,1.696,2.082,40.402
21.368,1.696,2.082,40.402
21.468,1.696,2.08,40.152
21.568,1.696,2.08,40.152
