Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.0,3.363,2.895,-51.44
0.101,3.363,2.895,-51.44
0.201,3.357,2.895,-50.559
0.301,3.357,2.895,-50.559
0.401,3.357,2.895,-50.559
0.501,3.357,2.9,-49.816
0.602,3.357,2.9,-49.816
0.702,3.357,2.9,-49.816
0.802,3.364,2.9,-50.784
0.902,3.364,2.9,-50.784
1.003,3.364,2.9,-50.784
1.103,3.364,2.92,-47.862
1.203,3.364,2.92,-47.862
1.303,3.364,2.92,-47.862
1.403,3.37,2.92,-48.72
1.504,3.37,2.92,-48.72
1.604,3.37,2.92,-48.72
1.704,3.37,2.926,-47.861
1.804,3.37,2.926,-47.861
1.905,3.356,2.926,-45.911
2.005,3.356,2.926,-45.911
2.105,3.356,2.926,-45.911
2.205,3.356,2.926,-45.911
2.305,3.356,2.91,-48.147
2.405,3.356,2.91,-48.147
2.506,3.356,2.91,-48.147
2.606,3.354,2.91,-47.863
2.706,3.354,2.91,-47.863
2.806,3.354,2.91,-47.863
2.906,3.354,2.902,-49.011
3.007,3.354,2.902,-49.011
3.107,3.354,2.902,-49.011
3.207,3.356,2.902,-49.302
3.308,3.356,2.902,-49.302
3.408,3.356,2.896,-50.186
3.508,3.356,2.896,-50.186
3.608,3.356,2.896,-50.186
3.709,3.346,2.896,-48.722
3.809,3.346,2.896,-48.722
3.909,3.346,2.896,-48.722
4.009,3.346,2.892,-49.303
4.11,3.346,2.892,-49.303
4.21,3.346,2.892,-49.303
4.31,3.346,2.892,-49.303
4.41,3.346,2.892,-49.303
4.511,3.346,2.892,-49.303
4.611,3.346,2.884,-50.485
4.711,3.346,2.884,-50.485
4.812,3.346,2.884,-50.485
4.912,3.346,2.884,-50.485
5.012,3.356,2.884,-52.004
5.112,3.356,2.884,-52.004
5.213,3.356,2.896,-50.186
5.313,3.356,2.896,-50.186
5.413,3.356,2.896,-50.186
5.514,3.358,2.896,-50.484
5.614,3.358,2.896,-50.484
5.714,3.358,2.896,-50.484
5.814,3.358,2.896,-50.484
5.915,3.358,2.904,-49.302
6.015,3.358,2.904,-49.302
6.115,3.36,2.904,-49.595
6.215,3.36,2.904,-49.595
6.316,3.36,2.904,-49.595
6.416,3.36,2.906,-49.302
6.516,3.36,2.906,-49.302
6.616,3.36,2.906,-49.302
