Time_s,Left_Dist_m,Right_Dist_m,Target_Angle_deg
0.0,2.975,3.043,6.572
0.101,2.975,3.043,6.572
0.201,2.975,3.043,6.572
0.301,2.975,3.032,5.527
0.401,2.975,3.032,5.527
0.502,2.975,3.032,5.527
0.602,2.968,3.032,6.202
0.702,2.968,3.032,6.202
0.802,2.968,3.032,6.202
0.903,2.968,3.03,5.961
1.003,2.968,3.03,5.961
1.103,2.968,3.03,5.961
1.203,2.962,3.03,6.54
1.304,2.962,3.03,6.54
1.404,2.962,3.03,6.54
1.504,2.962,3.028,6.347
1.604,2.962,3.028,6.347
1.705,2.962,3.028,6.347
1.805,2.968,3.028,5.768
1.905,2.968,3.028,5.768
2.006,2.968,3.028,5.768
2.106,2.968,3.026,5.575
2.206,2.968,3.026,5.575
2.306,2.968,3.026,5.575
2.406,2.972,3.026,5.189
2.507,2.972,3.026,5.189
2.607,2.972,3.026,5.189
2.707,2.972,3.016,4.227
2.807,2.972,3.016,4.227
2.908,2.972,3.016,4.227
3.008,2.964,3.016,4.997
3.108,2.964,3.016,4.997
3.208,2.964,3.016,4.997
3.309,2.964,3.016,4.997
3.409,2.964,3.016,4.997
3.509,2.964,3.016,4.997
3.609,2.96,3.016,5.382
3.71,2.96,3.016,5.382
3.81,2.96,3.016,5.382
3.91,2.96,3.008,4.612
4.01,2.96,3.008,4.612
4.111,2.96,3.008,4.612
4.211,2.96,3.008,4.612
4.311,2.96,3.008,4.612
4.412,2.96,3.008,4.612
4.512,2.96,3.01,4.804
4.612,2.96,3.01,4.804
4.712,2.96,3.01,4.804
4.813,2.956,3.01,5.19
4.913,2.956,3.01,5.19
5.013,2.956,3.01,5.19
5.114,2.956,3.018,5.961
5.214,2.956,3.018,5.961
5.314,2.956,3.018,5.961
5.414,2.946,3.018,6.927
5.515,2.946,3.018,6.927
5.615,2.946,3.018,6.927
5.715,2.946,3.016,6.734
5.815,2.946,3.016,6.734
5.916,2.946,3.016,6.734
6.016,2.952,3.016,6.154
6.116,2.952,3.016,6.154
6.217,2.952,3.016,6.154
6.317,2.952,3.01,5.575
6.417,2.952,3.01,5.575
6.517,2.952,3.01,5.575
6.618,2.974,3.01,3.457
6.718,2.974,3.01,3.457
6.818,2.974,3.01,3.457
6.919,2.974,3.016,4.034
7.019,2.974,3.016,4.034
7.119,2.974,3.016,4.034
7.219,2.97,3.016,4.419
7.32,2.97,3.016,4.419
7.42,2.97,3.016,4.419
7.52,2.97,3.016,4.419
7.621,2.97,3.016,4.419
7.721,2.97,3.016,4.419
7.821,2.976,3.016,3.842
7.921,2.976,3.016,3.842
8.022,2.976,3.016,3.842
8.122,2.976,3.006,2.88
8.222,2.976,3.006,2.88
8.322,2.976,3.006,2.88
8.423,2.992,3.006,1.344
8.523,2.992,3.006,1.344
8.623,2.992,3.006,1.344
8.723,2.992,3.008,1.536
8.824,2.992,3.008,1.536
8.924,2.992,3.008,1.536
9.024,2.994,3.008,1.344
9.125,2.994,3.008,1.344
9.225,2.994,3.008,1.344
9.325,2.994,3.012,1.728
9.426,2.994,3.012,1.728
9.526,2.994,3.012,1.728
9.626,2.98,3.012,3.073
9.726,2.98,3.012,3.073
9.827,2.98,3.012,3.073
9.927,2.98,3.014,3.265
10.027,2.98,3.014,3.265
10.127,2.98,3.014,3.265
10.228,2.994,3.014,1.92
10.328,2.994,3.014,1.92
10.428,2.994,3.014,1.92
10.529,2.994,3.004,0.96
10.629,2.994,3.004,0.96
10.729,2.994,3.004,0.96
10.829,2.99,3.004,1.344
10.93,2.99,3.004,1.344
11.03,2.99,3.004,1.344
11.13,2.99,3.008,1.728
11.231,2.99,3.008,1.728
11.331,2.99,3.008,1.728
11.431,2.978,3.008,2.88
11.531,2.978,3.008,2.88
11.632,2.978,3.008,2.88
11.732,2.978,3.01,3.073
11.832,2.978,3.01,3.073
11.933,2.978,3.01,3.073
12.033,2.988,3.01,2.112
12.133,2.988,3.01,2.112
12.233,2.988,3.01,2.112
12.334,2.988,3.02,3.073
12.434,2.988,3.02,3.073
12.534,2.988,3.02,3.073
12.634,2.99,3.02,2.88
12.735,2.99,3.02,2.88
12.835,2.99,3.02,2.88
12.935,2.99,3.022,3.073
13.036,2.99,3.022,3.073
13.136,2.99,3.022,3.073
13.236,2.99,3.022,3.073
13.336,2.99,3.022,3.073
13.437,2.99,3.022,3.073
13.537,2.99,3.032,4.034
13.637,2.99,3.032,4.034
13.738,2.99,3.032,4.034
13.838,3.002,3.032,2.88
13.938,3.002,3.032,2.88
14.039,3.002,3.032,2.88
14.139,3.002,3.034,3.072
14.239,3.002,3.034,3.072
14.339,3.002,3.034,3.072
14.44,3.018,3.034,1.536
14.54,3.018,3.034,1.536
14.64,3.018,3.034,1.536
14.741,3.018,3.044,2.496
14.841,3.018,3.044,2.496
14.941,3.018,3.044,2.496
15.042,3.036,3.044,0.768
15.142,3.036,3.044,0.768
15.242,3.036,3.044,0.768
15.343,3.036,3.03,-0.576
15.443,3.036,3.03,-0.576
15.543,3.036,3.03,-0.576
15.644,3.038,3.03,-0.768
15.744,3.038,3.03,-0.768
15.844,3.038,3.03,-0.768
15.945,3.038,3.024,-1.344
16.045,3.038,3.024,-1.344
16.145,3.038,3.024,-1.344
16.246,3.03,3.024,-0.576
16.346,3.03,3.024,-0.576
16.446,3.03,3.024,-0.576
16.547,3.03,3.028,-0.192
16.647,3.03,3.028,-0.192
16.747,3.03,3.028,-0.192
16.848,3.03,3.028,-0.192
